Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44201.0,53510.0,56572.0,56984.0,56984.0,56984.0,57001.0,57022.0,57023.0,57023.0,57023.0,57023.0,57023.0,57023.0,70212.0,240554.0,414600.0,583228.0,611101.0,619736.0,841166.0,1083614.0,1356095.0,1607344.0,1836541.0,1866047.0,1870512.0,2136344.0,2356338.0,2544340.0,2699576.0,2841681.0,2851319.0,2852483.0,2960594.0,3054809.0,3140829.0,3226754.0,3304859.0,3314896.0,3315251.0,3452366.0,3611279.0,3769056.0,3913686.0,4049797.0,4059470.0,4060536.0,4196826.0,4335610.0,4471126.0,4642151.0,4793014.0,4817234.0,4819932.0,4977444.0,5143620.0,5294614.0,5443003.0,5582593.0,5605735.0,5608712.0,5754878.0,5904807.0,6058345.0,6215452.0,6380953.0,6393836.0,6394802.0,6545614.0,6678865.0,6804975.0,6936531.0,6938384.0,6940187.0,6940748.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13194.0,24965.0,44328.0,52657.0,55532.0,55740.0,55774.0,55774.0,55774.0,55784.0,55784.0,55784.0,55784.0,55784.0,55784.0,55805.0,55845.0,56017.0,56161.0,56279.0,56283.0,56283.0,56688.0,69092.0,223003.0,388631.0,550003.0,574114.0,580963.0,794664.0,1031836.0,1296570.0,1541482.0,1764151.0,1790264.0,1794091.0,2066125.0,2309169.0,2524861.0,2710594.0,2865128.0,2876139.0,2877313.0,2999129.0,3089377.0,3153868.0,3208815.0,3259404.0,3262138.0,3262556.0,3377619.0,3521581.0,3673711.0,3839348.0,3844520.0,3845849.0,3846294.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3573.0,4941.0,6077.0,6095.0,6095.0,7332.0,8489.0,10116.0,11455.0,12811.0,12859.0,12867.0,14385.0,15644.0,16892.0,18241.0,19491.0,19572.0,19572.0,20365.0,21146.0,21849.0,22529.0,22902.0,22913.0,22913.0,23553.0,24367.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27899.0,28430.0,29121.0,29703.0,29718.0,29718.0,30467.0,31334.0,32124.0,32912.0,33487.0,33507.0,33507.0,34096.0,34799.0,35343.0,35911.0,36457.0,36457.0,36457.0,37065.0,37701.0,38246.0,38840.0,38840.0,38906.0,38907.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3394.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12333.0,12366.0,12373.0,13952.0,15419.0,16842.0,18436.0,19740.0,19809.0,19809.0,20708.0,21614.0,22079.0,22494.0,22807.0,22807.0,22807.0,23353.0,23940.0,24756.0,25530.0,25533.0,25533.0,25533.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9315.0,12792.0,15852.0,16036.0,16036.0,19620.0,24050.0,29757.0,36328.0,42679.0,43448.0,43453.0,50656.0,56078.0,60875.0,65007.0,69050.0,69205.0,69205.0,73120.0,76689.0,79916.0,82263.0,84809.0,84809.0,84809.0,88985.0,93746.0,98494.0,102861.0,106606.0,106612.0,106612.0,110899.0,116077.0,120696.0,126412.0,131613.0,131731.0,131731.0,136798.0,142298.0,148299.0,153509.0,158767.0,159130.0,159173.0,165168.0,171279.0,176938.0,182207.0,187426.0,187811.0,187996.0,193547.0,198632.0,203575.0,208273.0,208565.0,209019.0,209160.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6004.0,6023.0,6026.0,6027.0,6027.0,6029.0,6550.0,9492.0,12763.0,15423.0,15492.0,15492.0,19040.0,23370.0,28861.0,35193.0,41258.0,41817.0,41817.0,49752.0,56558.0,62581.0,67400.0,72007.0,72159.0,72164.0,75718.0,78241.0,80304.0,82057.0,83642.0,83645.0,83665.0,87238.0,91637.0,96027.0,101012.0,101043.0,101049.0,101050.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7252.0,9644.0,9948.0,9982.0,12410.0,14959.0,17974.0,20730.0,23611.0,23727.0,23727.0,26369.0,28443.0,30602.0,32732.0,34791.0,34846.0,34846.0,36839.0,38750.0,40072.0,41209.0,43259.0,43453.0,43453.0,44935.0,46142.0,47156.0,47984.0,48991.0,49055.0,49057.0,50190.0,51207.0,52430.0,54065.0,55391.0,55487.0,55487.0,56750.0,58411.0,59944.0,62111.0,63209.0,63273.0,63273.0,64449.0,65786.0,67231.0,68729.0,70221.0,70317.0,70317.0,71673.0,73012.0,74222.0,75383.0,75469.0,75554.0,75554.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2094.0,2738.0,2806.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2810.0,2825.0,2836.0,2848.0,2856.0,2857.0,2857.0,2859.0,2920.0,4173.0,6983.0,9207.0,9465.0,9491.0,11786.0,14296.0,17116.0,19859.0,22694.0,22788.0,22788.0,25703.0,28531.0,31213.0,33689.0,35825.0,35870.0,35870.0,37979.0,40080.0,41292.0,42097.0,42859.0,42865.0,42865.0,43745.0,44779.0,45604.0,46473.0,46479.0,46480.0,46480.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3606.0,3871.0,3871.0,3871.0,3871.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3875.0,9466.0,15287.0,19974.0,20449.0,20449.0,24047.0,26461.0,28692.0,30757.0,33266.0,33743.0,33743.0,35824.0,37666.0,39539.0,41478.0,42559.0,42612.0,42614.0,44529.0,46960.0,49298.0,51582.0,53112.0,53189.0,53189.0,54569.0,55755.0,56719.0,57871.0,59887.0,60186.0,60186.0,62145.0,64083.0,65919.0,67969.0,69986.0,70090.0,70090.0,72394.0,74687.0,76920.0,79088.0,80827.0,80828.0,80840.0,83336.0,85911.0,88403.0,90680.0,93105.0,93105.0,93105.0,95289.0,97354.0,99089.0,100601.0,100601.0,100601.0,100601.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,502.0,1744.0,2654.0,3640.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3724.0,3751.0,3751.0,3751.0,3760.0,4431.0,9419.0,14601.0,19063.0,19486.0,19487.0,22917.0,25323.0,27541.0,29589.0,32019.0,32387.0,32387.0,34774.0,37476.0,40176.0,42002.0,43233.0,43257.0,43262.0,44933.0,46618.0,47986.0,49880.0,51204.0,51205.0,51205.0,52269.0,53528.0,54951.0,56238.0,56239.0,56239.0,56239.0
